transaction_id,timestamp,amount_kes,hour_of_day,is_fraud,transaction_type,day_of_week,day_of_month,user_id,user_avg_amount,amount_deviation,time_diff,is_night,is_large_tx,is_weekend
TXN0008812,2024-02-24 17:00:00,568.16,17,0,withdraw,5,24,USER01250,3208.326085660413,0.17708923121604953,1137600.0,0,0,1
TXN0001970,2024-07-10 07:00:00,1264.23,7,0,withdraw,2,10,USER00922,309.8571259049125,4.080041716994306,309600.0,0,0,0
TXN0009625,2024-11-18 11:00:00,735.39,11,0,buy_goods,0,18,USER00342,4456.268596082428,0.16502371527750645,3362400.0,0,0,0
TXN0003226,2024-09-09 11:00:00,8769.07,11,0,deposit,0,9,USER00935,2283.4338676411658,3.840299526195006,2239200.0,0,0,0
TXN0008942,2024-10-03 17:00:00,20811.3,17,0,withdraw,3,3,USER00888,4519.251559100279,4.605032432437384,2700000.0,0,1,0
TXN0007732,2024-03-30 07:00:00,3607.1355147946347,7,0,send_money,5,30,USER01264,2691.5420492173625,1.3401743122844785,6447600.0,0,0,1
TXN0008165,2024-08-02 12:00:00,1320.62,12,0,send_money,4,2,USER00118,2795.7615237421915,0.4723650385717876,248400.0,0,0,0
TXN0001900,2024-01-20 13:00:00,3588.43,13,0,send_money,5,20,USER01030,2935.896122245506,1.2222605468940797,,0,0,1
TXN0003013,2024-09-25 12:00:00,1914.136947568299,12,0,paybill,2,25,USER01269,1155.899878372113,1.655971233653933,12268800.0,0,0,0
TXN0000457,2024-11-13 13:00:00,1831.07,13,0,send_money,2,13,USER00092,4944.844345892703,0.3702988146676299,16156800.0,0,0,0
TXN0007526,2024-07-13 14:00:00,2479.76,14,0,withdraw,5,13,USER00541,4921.039340110649,0.5039098102280651,3474000.0,0,0,1
TXN0003477,2024-03-11 13:00:00,1451.74,13,0,send_money,0,11,USER01493,4700.771042955148,0.30883018694893954,2325600.0,0,0,0
TXN0003227,2024-03-15 12:00:00,3928.81,12,0,withdraw,4,15,USER01044,581.2191385010614,6.759601912167291,,0,0,0
TXN0005702,2024-03-14 14:00:00,1903.84,14,0,paybill,3,14,USER01120,4085.196003328883,0.46603394266728637,3380400.0,0,0,0
TXN0000069,2024-02-21 20:00:00,2421.57,20,0,send_money,2,21,USER00785,2405.0614932994026,1.0068640684434018,,0,0,0
TXN0006730,2024-05-06 13:00:00,940.26,13,0,buy_goods,0,6,USER01203,3238.630987248596,0.29032637670116446,2163600.0,0,0,0
TXN0000612,2024-04-22 14:00:00,469.35,14,0,send_money,0,22,USER00119,2117.9408034318985,0.2216067603209061,3366000.0,0,0,0
TXN0009397,2024-03-15 13:00:00,665.72,13,0,send_money,4,15,USER01987,2368.4003568284465,0.28108423395589827,2178000.0,0,0,0
TXN0004081,2024-11-26 10:00:00,3071.9935241781777,10,0,buy_goods,1,26,USER01406,1957.1332255942095,1.569639452237843,4028400.0,0,0,0
TXN0007775,2024-03-15 07:00:00,15955.82,7,0,buy_goods,4,15,USER01622,4877.416719789138,3.2713669790121616,,0,1,0
TXN0006056,2024-07-06 13:00:00,1819.92,13,0,buy_goods,5,6,USER01980,2344.7458872637667,0.7761693963876745,6912000.0,0,0,1
TXN0005650,2024-07-04 15:00:00,3925.52,15,0,buy_goods,3,4,USER00441,1001.4822588547123,3.9197099751813833,13489200.0,0,0,0
TXN0007161,2024-07-13 12:00:00,3223.69,12,0,send_money,5,13,USER00910,3874.841908700427,0.8319539418528651,932400.0,0,0,1
TXN0003184,2024-01-03 13:00:00,8300.79,13,0,send_money,2,3,USER01899,489.54901365446784,16.955993717635884,,0,0,0
